Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2011-12-23T16:30:00Z,TYD,30.131248242,-83773956,Market,Filled,-2524213864.4504,Warning: No quote information available at 12/23/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-12-23T16:30:00Z,SPY,100.269385821,49310205,Market,Filled,4944303970.0576,Warning: No quote information available at 12/23/2011 11:00:00 America/New_York, order filled using TradeBar data 
2012-03-09T16:30:00Z,TYD,0,102944967,Market,Invalid,0, 
2012-03-09T16:30:00Z,TMF,138.2566220325,22588496,Market,Filled,3123009153.7546,Warning: No quote information available at 03/09/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-03-09T16:30:00Z,SPY,109.943032922,-49310205,Market,Filled,-5421313491.7056,Warning: No quote information available at 03/09/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-03-12T15:30:00Z,TYD,30.5888675695,103316314,Market,Filled,3160329046.7149,Warning: No quote information available at 03/12/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-04-13T15:30:00Z,TMF,142.9781203475,-22588496,Market,Filled,-3229660699.557,Warning: No quote information available at 04/13/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-04-13T15:30:00Z,TYD,30.887314957,-103316314,Market,Filled,-3191163530.7143,Warning: No quote information available at 04/13/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-04-13T15:30:00Z,SPY,110.192565739,59005799,Market,Filled,6502000385.2897,Warning: No quote information available at 04/13/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-10-05T15:30:00Z,TYD,0,107167329,Market,Invalid,0, 
2012-10-05T15:30:00Z,TMF,162.79798595,22385346,Market,Filled,3644289243.5939,Warning: No quote information available at 10/05/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-10-05T15:30:00Z,SPY,118.881953442,-59005799,Market,Filled,-7014724649.526,Warning: No quote information available at 10/05/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-10-08T15:30:00Z,TYD,34.2020706075,105161787,Market,Filled,3596750864.1849,Warning: No quote information available at 10/08/2012 10:00:00 America/New_York, order filled using TradeBar data 
2012-11-16T16:30:00Z,TMF,184.17367718,-22385346,Market,Filled,-4122791487.7666,Warning: No quote information available at 11/16/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-11-16T16:30:00Z,TYD,35.360046471,-105161787,Market,Filled,-3718525675.2934,Warning: No quote information available at 11/15/2012 16:00:00 America/New_York, order filled using TradeBar data 
2012-11-16T16:30:00Z,SPY,109.47630015,64784921,Market,Filled,7092413456.59,Warning: No quote information available at 11/16/2012 11:00:00 America/New_York, order filled using TradeBar data 
2013-04-18T15:30:00Z,TYD,0,124730574,Market,Invalid,0, 
2013-04-18T15:30:00Z,TMF,169.44225,26183550,Market,Filled,4436599624.9875,Warning: No quote information available at 04/18/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-04-18T15:30:00Z,SPY,126.943804014,-64784921,Market,Filled,-8224044314.4865,Warning: No quote information available at 04/18/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-04-19T15:30:00Z,TYD,35.503301217,124853633,Market,Filled,4432716140.4358,Warning: No quote information available at 04/19/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-05-31T15:30:00Z,TMF,135.6893538,-26183550,Market,Filled,-3552828979.69,Warning: No quote information available at 05/31/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-05-31T15:30:00Z,TYD,32.359655402,-124853633,Market,Filled,-4040220539.5678,Warning: No quote information available at 05/31/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-05-31T15:30:00Z,SPY,135.525182238,61323609,Market,Filled,8310893285.2169,Warning: No quote information available at 05/31/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-06-06T15:30:00Z,TYD,0,119304405,Market,Invalid,0, 
2013-06-06T15:30:00Z,TMF,140.0496677,28165026,Market,Filled,3944502532.0619,Warning: No quote information available at 06/06/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-06-06T15:30:00Z,SPY,132.380860446,-61323609,Market,Filled,-8118072125.0741,Warning: No quote information available at 06/06/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-06-07T15:30:00Z,TYD,32.510868745,121306824,Market,Filled,3943790232.9368,Warning: No quote information available at 06/07/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-07-19T15:30:00Z,TMF,117.313082695,-28165026,Market,Filled,-3304126024.2448,Warning: No quote information available at 07/19/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-07-19T15:30:00Z,TYD,29.884531735,-121306824,Market,Filled,-3625197631.5001,Warning: No quote information available at 07/18/2013 16:00:00 America/New_York, order filled using TradeBar data 
2013-07-19T15:30:00Z,SPY,138.894368369,52280482,Market,Filled,7261464525.4169,Warning: No quote information available at 07/19/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-08-01T15:30:00Z,TMF,0,34513203,Market,Invalid,0, 
2013-08-01T15:30:00Z,TYD,0,130047150,Market,Invalid,0, 
2013-08-01T15:30:00Z,SPY,140.112667813,-52280482,Market,Filled,-7325157807.5695,Warning: No quote information available at 08/01/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-08-02T15:30:00Z,TMF,110.29512522,34327507,Market,Filled,3786156683.0554,Warning: No quote information available at 08/02/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-08-02T15:30:00Z,TYD,29.422933109,128669558,Market,Filled,3785835798.1986,Warning: No quote information available at 08/02/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-08-30T15:30:00Z,TMF,108.9594494425,-34327507,Market,Filled,-3740306263.4536,Warning: No quote information available at 08/30/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-08-30T15:30:00Z,TYD,28.547487439,-128669558,Market,Filled,-3673192590.7867,Warning: No quote information available at 08/30/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-08-30T15:30:00Z,SPY,134.720869598,53676669,Market,Filled,7231367524.804,Warning: No quote information available at 08/30/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-09-06T15:30:00Z,TMF,0,37245719,Market,Invalid,0, 
2013-09-06T15:30:00Z,TYD,0,136613400,Market,Invalid,0, 
2013-09-06T15:30:00Z,SPY,136.869357131,-53676669,Market,Filled,-7346691178.9635,Warning: No quote information available at 09/06/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-09-09T15:30:00Z,TMF,101.4208048,37489992,Market,Filled,3802265160.5856,Warning: No quote information available at 09/09/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-09-09T15:30:00Z,TYD,27.727751948,137116175,Market,Filled,3801923288.4586,Warning: No quote information available at 09/09/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-10-04T15:30:00Z,TMF,108.3864416175,-37489992,Market,Filled,-4063406829.1485,Warning: No quote information available at 10/04/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-10-04T15:30:00Z,TYD,29.709442601,-137116175,Market,Filled,-4073645130.8312,Warning: No quote information available at 10/04/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-10-04T15:30:00Z,SPY,139.184015786,60358023,Market,Filled,8400872026.0438,Warning: No quote information available at 10/04/2013 11:00:00 America/New_York, order filled using TradeBar data 
2014-02-04T16:30:00Z,TYD,0,156373749,Market,Invalid,0, 
2014-02-04T16:30:00Z,TMF,119.7263078675,39949980,Market,Filled,4783063604.7805,Warning: No quote information available at 02/04/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-02-04T16:30:00Z,SPY,145.370258784,-60358023,Market,Filled,-8774261423.2006,Warning: No quote information available at 02/04/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-02-05T16:30:00Z,TYD,30.425716331,153900658,Market,Filled,4682537763.4622,Warning: No quote information available at 02/05/2014 10:00:00 America/New_York, order filled using TradeBar data 
2014-05-09T15:30:00Z,TMF,132.1094418125,-39949980,Market,Filled,-5277769558.2205,Warning: No quote information available at 05/09/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-05-09T15:30:00Z,TYD,31.285244807,-153900658,Market,Filled,-4814819761.4884,Warning: No quote information available at 05/09/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-05-09T15:30:00Z,SPY,156.258097744,67045130,Market,Filled,10476344476.799,Warning: No quote information available at 05/09/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-05-19T15:30:00Z,TMF,0,38917892,Market,Invalid,0, 
2014-05-19T15:30:00Z,TYD,0,169301937,Market,Invalid,0, 
2014-05-19T15:30:00Z,SPY,157.31073463,-67045130,Market,Filled,-10546918653.664,Warning: No quote information available at 05/19/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-05-20T15:30:00Z,TMF,136.25983286,40098371,Market,Filled,5463797330.4183,Warning: No quote information available at 05/20/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-05-20T15:30:00Z,TYD,31.937849761,171062573,Market,Filled,5463370756.2041,Warning: No quote information available at 05/20/2014 10:00:00 America/New_York, order filled using TradeBar data 
2014-06-13T15:30:00Z,TMF,134.80832998,-40098371,Market,Filled,-5405594429.4285,Warning: No quote information available at 06/13/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-06-13T15:30:00Z,TYD,31.555837105,-171062573,Market,Filled,-5398022688.3502,Warning: No quote information available at 06/12/2014 16:00:00 America/New_York, order filled using TradeBar data 
2014-06-13T15:30:00Z,SPY,162.23974862,71058099,Market,Filled,11528448119.175,Warning: No quote information available at 06/13/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-07-30T15:30:00Z,TMF,0,42974599,Market,Invalid,0, 
2014-07-30T15:30:00Z,TYD,0,194090626,Market,Invalid,0, 
2014-07-30T15:30:00Z,SPY,165.101472228,-71058099,Market,Filled,-11731796758.623,Warning: No quote information available at 07/30/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-07-31T15:30:00Z,TMF,141.88440652,43128929,Market,Filled,6119322495.0082,Warning: No quote information available at 07/31/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-07-31T15:30:00Z,TYD,32.272110835,189601780,Market,Filled,6118849658.6733,Warning: No quote information available at 07/28/2014 16:00:00 America/New_York, order filled using TradeBar data 
2015-04-10T15:30:00Z,TMF,212.5771327225,-43128929,Market,Filled,-9168224064.2123,Warning: No quote information available at 04/10/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-04-10T15:30:00Z,TYD,37.80333575,-189601780,Market,Filled,-7167579748.1376,Warning: No quote information available at 04/09/2015 16:00:00 America/New_York, order filled using TradeBar data 
2015-04-10T15:30:00Z,SPY,178.610828088,105350433,Market,Filled,18816728077.559,Warning: No quote information available at 04/10/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-07-24T15:30:00Z,TYD,0,279146701,Market,Invalid,0, 
2015-07-24T15:30:00Z,TMF,171.8896926175,57660965,Market,Filled,9911325549.8784,Warning: No quote information available at 07/24/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-07-24T15:30:00Z,SPY,179.094325105,-105350433,Market,Filled,-18867664697.655,Warning: No quote information available at 07/24/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-07-27T15:30:00Z,TYD,35.89327247,271980820,Market,Filled,9762281678.874,Warning: No quote information available at 07/27/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-09-18T15:30:00Z,TMF,171.09590198,-57660965,Market,Filled,-9865554815.7122,Warning: No quote information available at 09/18/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-09-18T15:30:00Z,TYD,36.919931483,-271980820,Market,Filled,-10041513239.09,Warning: No quote information available at 09/18/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-09-18T15:30:00Z,SPY,169.43863266,108025220,Market,Filled,18303645569.596,Warning: No quote information available at 09/18/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-09-29T15:30:00Z,TMF,0,45489920,Market,Invalid,0, 
2015-09-29T15:30:00Z,TYD,0,218531289,Market,Invalid,0, 
2015-09-29T15:30:00Z,SPY,162.631829286,-108025220,Market,Filled,-17568339137.623,Warning: No quote information available at 09/29/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-09-30T15:30:00Z,TMF,179.5100827375,46033403,Market,Filled,8263459981.2187,Warning: No quote information available at 09/30/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-09-30T15:30:00Z,TYD,37.92804696499,217857691,Market,Filled,8262916735.9323,Warning: No quote information available at 09/30/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-10-23T15:30:00Z,TMF,179.98635712,-46033403,Market,Filled,-8285384511.8069,Warning: No quote information available at 10/23/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-10-23T15:30:00Z,TYD,37.747625571,-217857691,Market,Filled,-8223610547.6306,Warning: No quote information available at 10/23/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-10-23T15:30:00Z,SPY,178.112789172,106364060,Market,Filled,18944799394.258,Warning: No quote information available at 10/23/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-11-09T16:30:00Z,TMF,0,61142350,Market,Invalid,0, 
2015-11-09T16:30:00Z,TYD,0,274651647,Market,Invalid,0, 
2015-11-09T16:30:00Z,SPY,179.188453422,-106364060,Market,Filled,-19059211411.085,Warning: No quote information available at 11/09/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-11-10T16:30:00Z,TMF,161.1394994125,59639509,Market,Filled,9610280625.4673,Warning: No quote information available at 11/10/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-11-10T16:30:00Z,TYD,35.344129277,271886811,Market,Filled,9609602596.6953,Warning: No quote information available at 11/09/2015 16:00:00 America/New_York, order filled using TradeBar data 
2016-04-01T15:30:00Z,TMF,213.1894855,-59639509,Market,Filled,-12714516239.183,Warning: No quote information available at 04/01/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-04-01T15:30:00Z,TYD,41.065014144,-271886811,Market,Filled,-11165035739.282,Warning: No quote information available at 04/01/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-04-01T15:30:00Z,SPY,179.128708452,126988539,Market,Filled,22747292979.276,Warning: No quote information available at 04/01/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-10-28T15:30:00Z,TYD,0,311125471,Market,Invalid,0, 
2016-10-28T15:30:00Z,TMF,214.45955052,59754336,Market,Filled,12814888040.181,Warning: No quote information available at 10/28/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-10-28T15:30:00Z,SPY,187.87080758,-126988539,Market,Filled,-23857439375.334,Warning: No quote information available at 10/28/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-10-31T15:30:00Z,TYD,41.428922304,308847508,Market,Filled,12795219412.716,Warning: No quote information available at 10/31/2016 11:00:00 America/New_York, order filled using TradeBar data 
2017-01-20T16:30:00Z,TMF,165.92492297,-59754336,Market,Filled,-9914733597.9235,Warning: No quote information available at 01/20/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-01-20T16:30:00Z,TYD,36.062805627,-308847508,Market,Filled,-11137907649.387,Warning: No quote information available at 01/20/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-01-20T16:30:00Z,SPY,200.73156981,112349692,Market,Filled,22552130042.83,Warning: No quote information available at 01/20/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-03-03T16:30:00Z,TYD,0,357970087,Market,Invalid,0, 
2017-03-03T16:30:00Z,TMF,162.56832256,79071580,Market,Filled,12854534122.769,Warning: No quote information available at 03/03/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-03-03T16:30:00Z,SPY,210.37064691,-112349692,Market,Filled,-23635077386.179,Warning: No quote information available at 03/03/2017 11:00:00 America/New_York, order filled using TradeBar data 
