Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2014-10-13T15:00:00Z,SHY,74.99547488,371094,Market,Filled,27830370.755119,Warning: No quote information available at 10/13/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-10-27T15:00:00Z,SHY,75.013162492,-371094,Market,Filled,-27836934.521806,Warning: No quote information available at 10/27/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-10-27T15:00:00Z,TQQQ,3.4383420809204,8072023,Market,Filled,27754376.359057,Warning: No quote information available at 10/27/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-11-24T16:00:00Z,TQQQ,4.074066653742,-63473,Market,Filled,-258593.23271297,Warning: No quote information available at 11/24/2014 11:00:00 America/New_York, order filled using TradeBar data 
2015-02-02T16:00:00Z,TQQQ,3.6066858591906,51822,Market,Filled,186905.67459498,Warning: No quote information available at 02/02/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-02-17T16:00:00Z,TQQQ,4.3134341893511,-66106,Market,Filled,-285143.88052125,Warning: No quote information available at 02/17/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-07-20T15:00:00Z,TQQQ,5.1515905862856,-65093,Market,Filled,-335332.48603309,Warning: No quote information available at 07/20/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-08-24T15:00:00Z,TQQQ,3.4676271777405,-7929173,Market,Filled,-27495415.791806,Warning: No quote information available at 08/24/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-08-24T15:00:00Z,SHY,75.45678876,373210,Market,Filled,28161228.13312,Warning: No quote information available at 08/24/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-10-26T15:00:00Z,SHY,75.545735328,-373210,Market,Filled,-28194423.881763,Warning: No quote information available at 10/26/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-10-26T15:00:00Z,TQQQ,4.8022340379905,5857126,Market,Filled,28127289.841999,Warning: No quote information available at 10/26/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-11-16T16:00:00Z,TQQQ,4.4014061652947,-5857126,Market,Filled,-25779590.487308,Warning: No quote information available at 11/16/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-11-16T16:00:00Z,SHY,75.323373492,343765,Market,Filled,25893539.488477,Warning: No quote information available at 11/16/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-11-23T16:00:00Z,SHY,75.22550471,-343765,Market,Filled,-25859895.626633,Warning: No quote information available at 11/23/2015 11:00:00 America/New_York, order filled using TradeBar data 
